"","intercept","slope","seint","seslope","scrubbedn","simulation","mean_p.vars","mean_p.n","mean_p.mean","mean_p.sd","mean_p.median","mean_p.trimmed","mean_p.mad","mean_p.min","mean_p.max","mean_p.range","mean_p.skew","mean_p.kurtosis","mean_p.se"
"X1771",-0.0507998056343129,-2.61153665651838,0.0321664949230867,0.0595627359908952,100,"Simulation 3",1,100,0.479046,0.190049436641303,0.4769,0.47617625,0.19740819,0.1105,0.9127,0.8022,0.169624659554125,-0.579424066234266,0.0190049436641303
"X1772",0.00407377685153705,-2.27306948102883,0.0467735227353239,0.0708595471215627,100,"Simulation 3",1,100,0.523585,0.207948493707825,0.5141,0.52629,0.17620701,0.0307,0.9715,0.9408,-0.111031590125438,-0.0501310882994868,0.0207948493707825
"X1773",-0.0601960432023046,-2.43386218611476,0.0490131396347481,0.0775095528102747,100,"Simulation 3",1,100,0.478405,0.206016203822354,0.4846,0.4730275,0.19666689,0.0527,0.9698,0.9171,0.212236640090722,-0.240091374302601,0.0206016203822354
"X1774",-0.0499301657681631,-2.49003360957126,0.0478593311969653,0.0751277837992473,100,"Simulation 3",1,100,0.499368,0.208303716624538,0.5135,0.5022375,0.18562152,0.0118,0.9025,0.8907,-0.150180308026227,-0.52628991928366,0.0208303716624538
"X1775",0.0593402195342449,-2.27346066607784,0.0571016971958074,0.0802005069177027,100,"Simulation 3",1,100,0.535909,0.212040026283871,0.53035,0.5420575,0.2312856,0.0051,0.9965,0.9914,-0.230498762835657,-0.25489230511626,0.0212040026283871
"X1776",0.0548660712734703,-2.37171826616207,0.0522767167157752,0.0771249920396227,100,"Simulation 3",1,100,0.509344,0.211894121321251,0.4848,0.499715,0.21379092,0.1042,0.9968,0.8926,0.317530316259874,-0.603445590568759,0.0211894121321251
"X1777",-0.0458479378459929,-2.1329010837324,0.0533764996782064,0.0796204034168355,100,"Simulation 3",1,100,0.488967,0.200511949846669,0.5142,0.49144125,0.15433866,0.0022,0.9802,0.978,-0.133663955470619,0.0413253085570684,0.0200511949846669
"X1778",-0.0360885565902055,-2.45168830343815,0.0559115379494833,0.0940106696311793,100,"Simulation 3",1,100,0.480709,0.188947759920005,0.46975,0.48123,0.17932047,0.0064,0.9665,0.9601,0.0296728235798703,-0.07793481579573,0.0188947759920005
"X1779",-0.140245166789821,-2.860477025647,0.0383264349046866,0.0764748947230518,100,"Simulation 3",1,100,0.466795,0.171644802005641,0.4517,0.46648625,0.15307845,0.075,0.9127,0.8377,0.0443442468447331,-0.0337820868804517,0.0171644802005641
"X1780",-0.00460277910157979,-2.46581926968615,0.0347218899503835,0.0629234983782779,100,"Simulation 3",1,100,0.515725,0.189481823639892,0.52045,0.51888375,0.19577733,0.0158,0.915,0.8992,-0.113749583740041,-0.597967337648447,0.0189481823639892
"X1781",-0.00259691322087289,-2.25570558636534,0.0499393406259569,0.0804806067848021,100,"Simulation 3",1,100,0.507058,0.194840255303848,0.51295,0.506635,0.19355343,0.0052,0.9676,0.9624,-0.064752464237386,-0.107571330010614,0.0194840255303848
